datetime,position,value
2014-04-11 16:38:08,ai6,0.00071
2014-04-11 16:38:08,ai8,-0.001
2014-04-11 16:38:08,ai9,-0.00101
2014-04-11 16:38:08,ai10,-0.00098
2014-04-11 16:38:08,ai7,-0.0246
2014-04-11 16:38:09,ai0,-0.00105
2014-04-11 16:38:09,ai2,0.00331
2014-04-11 16:38:09,ai3,0.00488
2014-04-11 16:38:09,ai4,0.00056
2014-04-11 16:38:09,ai5,0.00052
2014-04-11 16:38:09,ai6,0.00146
2014-04-11 16:38:09,ai8,-0.00095
2014-04-11 16:38:09,ai9,-0.00103
2014-04-11 16:38:09,ai10,-0.00103
2014-04-11 16:38:09,ai7,-0.02459
2014-04-11 16:38:10,ai0,-0.00311
2014-04-11 16:38:10,ai2,0.00208
2014-04-11 16:38:10,ai3,-0.00416
2014-04-11 16:38:10,ai4,-0.00026
2014-04-11 16:38:10,ai5,0.00052
2014-04-11 16:38:10,ai6,0.00471
2014-04-11 16:38:10,ai8,-0.00107
2014-04-11 16:38:10,ai9,-0.00103
2014-04-11 16:38:10,ai10,-0.00105
2014-04-11 16:38:10,ai7,-0.0246
2014-04-11 16:38:11,ai0,-0.00023
2014-04-11 16:38:11,ai2,2e-05
2014-04-11 16:38:11,ai3,-0.00211
2014-04-11 16:38:11,ai4,0.00139
2014-04-11 16:38:11,ai5,0.00052
2014-04-11 16:38:11,ai6,0.00674
2014-04-11 16:38:11,ai8,-0.00121
2014-04-11 16:38:11,ai9,-0.00101
2014-04-11 16:38:11,ai10,-0.00099
2014-04-11 16:38:11,ai7,-0.0246
2014-04-11 16:38:12,ai0,-0.00105
2014-04-11 16:38:12,ai2,0.00126
2014-04-11 16:38:12,ai3,0.01557
2014-04-11 16:38:12,ai4,-0.00478
2014-04-11 16:38:12,ai5,-0.00031
2014-04-11 16:38:12,ai6,0.01322
2014-04-11 16:38:12,ai8,-0.00098
2014-04-11 16:38:12,ai9,-0.00101
2014-04-11 16:38:12,ai10,-0.00091
2014-04-11 16:38:12,ai7,-0.02461
2014-04-11 16:38:13,ai0,-0.00434
2014-04-11 16:38:13,ai2,-0.00121
2014-04-11 16:38:13,ai3,0.00283
2014-04-11 16:38:13,ai4,-0.00026
2014-04-11 16:38:13,ai5,0.00052
2014-04-11 16:38:13,ai6,0.01529
2014-04-11 16:38:13,ai8,-0.00088
2014-04-11 16:38:13,ai9,-0.00101
2014-04-11 16:38:13,ai10,-0.00103
2014-04-11 16:38:13,ai7,-0.0246
2014-04-11 16:38:14,ai0,-0.00187
2014-04-11 16:38:14,ai2,0.00043
2014-04-11 16:38:14,ai3,0.00365
2014-04-11 16:38:14,ai4,-0.00396
2014-04-11 16:38:14,ai5,-0.00154
2014-04-11 16:38:14,ai6,0.01024
2014-04-11 16:38:14,ai8,-0.00095
2014-04-11 16:38:14,ai9,-0.00097
2014-04-11 16:38:14,ai10,-0.00099
2014-04-11 16:38:14,ai7,-0.0246
2014-04-11 16:38:15,ai0,-0.00187
2014-04-11 16:38:15,ai2,-0.00203
2014-04-11 16:38:15,ai3,0.00201
2014-04-11 16:38:15,ai4,0.0055
2014-04-11 16:38:15,ai5,0.00011
2014-04-11 16:38:15,ai6,-0.00413
2014-04-11 16:38:15,ai8,-0.00106
2014-04-11 16:38:15,ai9,-0.00099
2014-04-11 16:38:15,ai10,-0.00105
2014-04-11 16:38:15,ai7,-0.0246
2014-04-11 16:38:16,ai0,-0.00105
2014-04-11 16:38:16,ai2,0.0066
2014-04-11 16:38:16,ai3,0.00941
2014-04-11 16:38:16,ai4,-0.0019
2014-04-11 16:38:16,ai5,0.00052
2014-04-11 16:38:16,ai6,0.00245
2014-04-11 16:38:16,ai8,-0.0009
2014-04-11 16:38:16,ai9,-0.00093
2014-04-11 16:38:16,ai10,-0.00105
2014-04-11 16:38:16,ai7,-0.0246
2014-04-11 16:38:17,ai0,-0.00187
2014-04-11 16:38:17,ai2,0.00126
2014-04-11 16:38:17,ai3,-0.00252
2014-04-11 16:38:17,ai4,0.00385
2014-04-11 16:38:17,ai5,-0.00072
2014-04-11 16:38:17,ai6,0.01557
2014-04-11 16:38:17,ai8,-0.00095
2014-04-11 16:38:17,ai9,-0.00103
2014-04-11 16:38:17,ai10,-0.00099
2014-04-11 16:38:17,ai7,-0.0246
2014-04-11 16:38:18,ai0,-0.00434
2014-04-11 16:38:18,ai2,0.00948
2014-04-11 16:38:18,ai3,-5e-05
2014-04-11 16:38:18,ai4,-0.00108
2014-04-11 16:38:18,ai5,0.00298
2014-04-11 16:38:18,ai6,0.01804
2014-04-11 16:38:18,ai8,-0.00097
2014-04-11 16:38:18,ai9,-0.00099
2014-04-11 16:38:18,ai10,-0.00099
2014-04-11 16:38:18,ai7,-0.0246
2014-04-11 16:38:19,ai0,-0.00187
2014-04-11 16:38:19,ai2,0.00126
2014-04-11 16:38:19,ai3,0.00406
2014-04-11 16:38:19,ai4,0.00221
2014-04-11 16:38:19,ai5,-0.00031
2014-04-11 16:38:19,ai6,0.01108
2014-04-11 16:38:19,ai8,-0.00098
2014-04-11 16:38:19,ai9,-0.00099
2014-04-11 16:38:19,ai10,-0.001
2014-04-11 16:38:19,ai7,-0.0246
2014-04-11 16:38:20,ai0,0.00594
2014-04-11 16:38:20,ai2,-0.00244
2014-04-11 16:38:20,ai3,-0.00334
2014-04-11 16:38:20,ai4,-0.00272
2014-04-11 16:38:20,ai5,-0.00113
2014-04-11 16:38:20,ai6,0.00388
2014-04-11 16:38:20,ai8,-0.00099
2014-04-11 16:38:20,ai9,-0.00101
2014-04-11 16:38:20,ai10,-0.001
2014-04-11 16:38:20,ai7,-0.0246
2014-04-11 16:38:21,ai0,-0.00023
2014-04-11 16:38:21,ai2,0.00783
2014-04-11 16:38:21,ai3,-0.01649
2014-04-11 16:38:21,ai4,-0.00149
2014-04-11 16:38:21,ai5,-0.00154
2014-04-11 16:38:21,ai6,-0.00424
2014-04-11 16:38:21,ai8,-0.00102
2014-04-11 16:38:21,ai9,-0.00101
2014-04-11 16:38:21,ai10,-0.00101
2014-04-11 16:38:21,ai7,-0.02459
2014-04-11 16:38:22,ai0,-0.00229
2014-04-11 16:38:22,ai2,-0.00285
2014-04-11 16:38:22,ai3,0.00036
2014-04-11 16:38:22,ai4,-0.00149
2014-04-11 16:38:22,ai5,-0.00031
2014-04-11 16:38:22,ai6,-0.00717
2014-04-11 16:38:22,ai8,-0.00096
2014-04-11 16:38:22,ai9,-0.00095
2014-04-11 16:38:22,ai10,-0.00103
2014-04-11 16:38:22,ai7,-0.0246
2014-04-11 16:38:23,ai0,-0.0027
2014-04-11 16:38:23,ai2,-0.00039
2014-04-11 16:38:23,ai3,-0.00745
2014-04-11 16:38:23,ai4,0.00139
2014-04-11 16:38:23,ai5,-0.00154
2014-04-11 16:38:23,ai6,0.00018
2014-04-11 16:38:23,ai8,-0.00102
2014-04-11 16:38:23,ai9,-0.00103
2014-04-11 16:38:23,ai10,-0.00097
2014-04-11 16:38:23,ai7,-0.0246
2014-04-11 16:38:24,ai0,-0.00105
2014-04-11 16:38:24,ai2,0.00085
2014-04-11 16:38:24,ai3,-0.00416
2014-04-11 16:38:24,ai4,0.00303
2014-04-11 16:38:24,ai5,-0.00113
2014-04-11 16:38:24,ai6,0.00605
2014-04-11 16:38:24,ai8,-0.001
2014-04-11 16:38:24,ai9,-0.00099
2014-04-11 16:38:24,ai10,-0.00102
2014-04-11 16:38:24,ai7,-0.0246
2014-04-11 16:38:25,ai0,-0.00146
2014-04-11 16:38:25,ai2,-0.0008
2014-04-11 16:38:25,ai3,-0.00293
2014-04-11 16:38:25,ai4,-0.00971
2014-04-11 16:38:25,ai5,-0.00031
2014-04-11 16:38:25,ai6,0.01613
2014-04-11 16:38:25,ai8,-0.00095
2014-04-11 16:38:25,ai9,-0.00101
2014-04-11 16:38:25,ai10,-0.00099
2014-04-11 16:38:25,ai7,-0.0246
2014-04-11 16:38:26,ai0,-0.00229
2014-04-11 16:38:26,ai2,-0.00039
2014-04-11 16:38:26,ai3,-0.00128
2014-04-11 16:38:26,ai4,0.0018
2014-04-11 16:38:26,ai5,-0.00031
2014-04-11 16:38:26,ai6,0.00695
2014-04-11 16:38:26,ai8,-0.00097
2014-04-11 16:38:26,ai9,-0.00099
2014-04-11 16:38:26,ai10,-0.00098
2014-04-11 16:38:26,ai7,-0.02461
2014-04-11 16:38:27,ai0,0.00923
2014-04-11 16:38:27,ai2,-0.0045
2014-04-11 16:38:27,ai3,0.00571
2014-04-11 16:38:27,ai4,0.00056
2014-04-11 16:38:27,ai5,-0.00072
2014-04-11 16:38:27,ai6,0.00266
2014-04-11 16:38:27,ai8,-0.00098
2014-04-11 16:38:27,ai9,-0.00102
2014-04-11 16:38:27,ai10,-0.00098
2014-04-11 16:38:27,ai7,-0.02459
2014-04-11 16:38:28,ai0,-0.0027
2014-04-11 16:38:28,ai2,-0.00039
2014-04-11 16:38:28,ai3,-0.00622
2014-04-11 16:38:28,ai4,0.00509
2014-04-11 16:38:28,ai5,-0.00195
2014-04-11 16:38:28,ai6,0.00168
2014-04-11 16:38:28,ai8,-0.0011
2014-04-11 16:38:28,ai9,-0.00106
2014-04-11 16:38:28,ai10,-0.00101
2014-04-11 16:38:28,ai7,-0.02459
2014-04-11 16:38:29,ai0,-0.00023
2014-04-11 16:38:29,ai2,-0.00162
2014-04-11 16:38:29,ai3,0.01639
2014-04-11 16:38:29,ai4,-0.00026
2014-04-11 16:38:29,ai5,-0.00031
2014-04-11 16:38:29,ai6,0.00051
2014-04-11 16:38:29,ai8,-0.001
2014-04-11 16:38:29,ai9,-0.00098
2014-04-11 16:38:29,ai10,-0.00101
2014-04-11 16:38:29,ai7,-0.0246
2014-04-11 16:38:30,ai0,0.00183
2014-04-11 16:38:30,ai2,-0.00121
2014-04-11 16:38:30,ai3,-0.00211
2014-04-11 16:38:30,ai4,0.00098
2014-04-11 16:38:30,ai5,0.01203
